fecha_hora,ip,puerto,dato_recibido
2025-06-10 18:56:46,192.168.1.93,48992,[Sin datos enviados]
2025-06-10 19:02:49,192.168.1.93,58696,[Sin datos enviados]
2025-06-10 19:03:22,192.168.1.93,51136,[Sin datos enviados]
2025-06-10 19:03:38,192.168.1.75,54230,[Sin datos enviados]
2025-06-10 19:03:50,192.168.1.75,54231,[Sin datos enviados]
2025-06-14 03:44:08,192.168.1.75,54266,[Sin datos enviados]
2025-06-14 03:44:27,192.168.1.75,54328,user1
2025-06-14 03:46:19,192.168.1.93,44526,my account settings
2025-06-14 03:47:09,192.168.1.75,54387,frequently asked questions
2025-06-14 03:47:41,192.168.1.75,54388,Help me please
2025-06-14 03:48:04,192.168.1.93,54572,user2
2025-06-14 03:48:24,192.168.1.93,38994,I am a client
2025-06-14 03:49:00,192.168.1.75,54390,Performance test
2025-06-14 03:49:19,192.168.1.75,54391,[Sin datos enviados]
2025-06-14 03:49:28,192.168.1.93,34524,user404
2025-06-14 03:51:29,192.168.1.75,54393,user4
2025-06-14 03:51:46,192.168.1.75,54394,hi
2025-06-14 03:51:57,192.168.1.93,32972,[Sin datos enviados]
2025-06-14 03:51:59,192.168.1.93,32978,[Sin datos enviados]
2025-06-14 03:52:27,192.168.1.93,60592,Waiting for response
2025-06-14 03:52:54,192.168.1.75,54396,[Sin datos enviados]
2025-06-14 03:52:56,192.168.1.75,54397,[Sin datos enviados]
